_,Nafn,Skor,
_,Alex Daði Reynisson,16:04,
_,Sigurður Jónsson,14.35,
_,Óskar Marínó,14:29,
_,Axel Guðni Sigurðsson,14:32,
_,Ægir Björn Gunnsteinsson,14:17,
_,Ingimar Jónsson,13:45,
_,Garðar Karl Ólafsson,15:05,
_,Eggert Ólafsson,14:52,
_,Benjamín Eiríksson,16:24,
_,Hallgerður María Friðriksdóttir,14:03,
_,Jóhanna Júlía Júlíusdóttir,13:54,
_,Guðbjörg Valdimarsdóttir,13:09,
_,Birta Líf Þórarinsdóttir,14:44,
_,Bryndís María Björnsdóttir,15:04,
_,Sigríður Sjöfn Ingvarsdóttir,17:32,
_,Guðrún Bjarnadóttir,17:57,
_,Sólrún Sigþórsdóttir,16:12,
_,Ingibjörg Malmquist,15:54,
_,Dísa Edwards,18:34,
_,Ingvar Svavarsson,23:40,
_,Stefán Helgi Einarsson,21:52,
_,Heiðar Heiðarsson,22:55,
_,Hörður Orri Grettisson,23:32,
_,Daði Heimisson,23:06,
_,Kristján Guðjónsson,22:12,
_,Alma Káradóttir,24:16,
_,Hildur Guðný Káradóttir,25:15,
_,Bjarný Þorvarðardóttir,26:28,
_,Erla Júlía Jónsdóttir,26:40,
_,Kristín Sif Björgvinsdóttir,30:12,
_,Guðjón Ólafsson,23:53,
_,Vignir Bjarnason,59:59,
_,Anna Svavarsdóttir,26:59,
_,Erla Guðmundsdóttir,25:29,
_,Rakel Tryggvadóttir,25:28,
_,Andrea Ósk Guðlaugsdóttir,27:28,
_,Sigrún Nanna Karlsdóttir,25:59,
_,Ægir Reynisson,23:21,
_,Evert Víglundsson,23:24,
_,Elías Árni Jónsson,24:37,
_,Magnús Gíslason,24:45,
_,Sigtryggur Símonarson,25:51,
_,Steinar Sigurðarson,29:30,
_,Helga Guðmundsdóttir,25:40,
_,E. Linda Helgadóttir,26:28,
_,Anja Karlsdóttir,27:51,
_,Guðjón Arinbjörnsson,24:32,
_,Sæmundur Árnason,30:54,
_,Heiðar Örn sverrisson,27:34,
_,Ingibjörg Gísladóttir,17:30,
_,Kristín Kristjánsdóttir,18:03,
_,Ingibjörg Jónsdóttir,17:14,
_,Hrönn Birgisdóttir,18:25,
_,Jóhanna Jóhannsdóttir,20:18,
_,Elín Sveinsdóttir,21:19,
_,Gísli Hjartarson,30:42,
_,Eggert Marínósson,25:56,
_,Andrés Thor Hinriksson,27:10,
_,Örn V. Arnarson,25:38,
_,Jón Þorri Jónsson,24:30,
_,Haukur Rafn Sigurðsson,23:38,
_,Aron Leó Jóhannson,27:15,
_,Bergrós Björnsdóttir,29:47,
_,Emilía Nótt Davíðsdóttir,26:16,
_,Hulda Finnbogadóttir,24:55,
_,Ísabella Ýr Pétursdóttir,29:52,
_,Tindur Elíasen,22:08,
_,Þórbergur Hlynsson,23:24,
_,Aðalsteinn Þorsteinsson,21:24,
_,Ari Tómas Hjálmarsson,30:00,
_,Tryggvi Freyr Magnússon,24:18,
_,Almar Daði Harðarson,25:32,
_,Þórkatla Ýr Friðriksdóttir,26:33,
_,Úlfhildur Unnarsdóttir,29:59,
_,Thelma Ósk Björgvinsdóttir,28:05,
_,Salka Katrínsdóttir,26:37,
_,Elísa Mist Benediktsdóttir,26:35,
_,Steinunn Soffía Hauksdóttir,28:35,
