_,Nafn,Skor
_,Alex Daði Reynisson,83
_,Bjarni Leifs,118
_,Sigurður Jónsson,80
_,Óskar Marínó,105
_,Axel Guðni Sigurðsson,134
_,Ægir Björn Gunnsteinsson,79
_,Ingimar Jónsson,148
_,Garðar Karl Ólafsson,104
_,Eggert Ólafsson,74
_,Benjamín Eiríksson,120
_,Hallgerður María Friðriksdóttir,102
_,Jóhanna Júlía Júlíusdóttir,111
_,Guðbjörg Valdimarsdóttir,150
_,Birta Líf Þórarinsdóttir,141
_,Bryndís María Björnsdóttir,143
_,Sigríður Sjöfn Ingvarsdóttir,112
_,Guðrún Bjarnadóttir,117
_,Sólrún Sigþórsdóttir,118
_,Ingibjörg Malmquist,91
_,Dísa Edwards,148
_,Ingvar Svavarsson,123
_,Stefán Helgi Einarsson,104
_,Heiðar Heiðarsson,120
_,Hörður Orri Grettisson,112
_,Daði Heimisson,108
_,Kristján Guðjónsson,99
_,Alma Káradóttir,94
_,Hildur Guðný Káradóttir,122
_,Bjarný Þorvarðardóttir,86
_,Erla Júlía Jónsdóttir,115
_,Kristín Sif Björgvinsdóttir,80
_,Guðjón Ólafsson,111
_,Gísli Pálsson,116
_,Vignir Bjarnason,124
_,Anna Svavarsdóttir,128
_,Erla Guðmundsdóttir,126
_,Rakel Tryggvadóttir,120
_,Andrea Ósk Guðlaugsdóttir,84
_,Sigrún Nanna Karlsdóttir,84
_,Ægir Reynisson,140
_,Evert Víglundsson,84
_,Elías Árni Jónsson,124
_,Magnús Gíslason,149
_,Sigtryggur Símonarson,87
_,Steinar Sigurðarson,142
_,Helga Guðmundsdóttir,139
_,E. Linda Helgadóttir,110
_,Guðjón Arinbjörnsson,119
_,Sigursveinn P. Hjaltalín,78
_,Sæmundur Árnason,100
_,Heiðar Örn sverrisson,119
_,Ingibjörg Gísladóttir,107
_,Kristín Kristjánsdóttir,149
_,Ingibjörg Jónsdóttir,137
_,Hrönn Birgisdóttir,99
_,Jóhanna Jóhannsdóttir,143
_,Gísli Hjartarson,70
_,Eggert Marínósson,141
_,Andrés Thor Hinriksson ,143
_,Örn V. Arnarson,132
_,Hrafnkell Sigtryggsson,115
_,Elín Sveinsdóttir,131
_,Jón Þorri Jónsson,149
_,Haukur Rafn Sigurðsson,122
_,Aron Leó Jóhannson,74
_,Hilmir Hrafnkelsson,93
_,Kristinn Hilmarsson,112
_,Bergrós Björnsdóttir,72
_,Emiliá Nótt Davíðsdóttir,103
_,Hulda Finnbogadóttir,82
_,Guðrún Lilja Dagbjartsdóttir,75
_,Tindur Elíasen,120
_,Þorbergur Hlynsson,133
_,Aðalsteinn Þorsteinsson,90
_,Ari Tómas Hjálmarsson,122
_,Tryggvi Freyr Magnússon,148
_,Almar Daði Harðarson,117
_,Þórkatla Ýr Friðriksdóttir,126
_,Úlfhildur Unnarsdóttir,143
_,Thelma Ósk Björgvinsdóttir,110
_,Salka Katrínsdóttir,139
_,Elísa Mist Benediktsdóttir,109
_,Steinunn Soffía Hauksdóttir,119
